DeclarationNumber,DeclarantIdentification,PointOfClearance,ErrorCode,ErrorDescription,ErrorPointer,RejectionTimestamp
DK230957882,DK8664882079,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-04 08:22:25
DK230923531,DK6805759868,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2023-09-04 08:36:01
DK230933818,DK1104906255,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-04 08:52:43
DK230958276,DK9597198563,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-04 09:13:19
DK230971284,DK2439622619,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-04 09:14:49
DK230949455,DK6204041308,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-04 09:50:47
DK230927738,DK7887950851,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-04 10:43:46
DK230973393,DK3792347639,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-04 13:09:27
DK230978883,DK3691864041,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-04 14:00:04
DK230943149,DK1955345537,CO000001,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2023-09-04 14:51:55
DK230929373,DK3376077463,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-04 15:01:36
DK230939803,DK5659161352,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-04 16:08:25
DK230944157,DK1977515194,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-04 16:28:31
DK230938593,DK4460967357,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-04 18:06:29
DK230915754,DK9805620900,CO000003,TMSV9999,Unknown error result,,2023-09-04 18:19:01
DK230988850,DK4712367625,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2023-09-04 22:39:58
DK230913956,DK8826851692,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-05 06:56:02
DK230995634,DK9526836552,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-05 07:44:33
DK230997979,DK1116402431,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-05 08:05:42
DK230925318,DK9573276057,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-05 08:10:49
DK230936734,DK7292076361,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-05 08:13:10
DK230968910,DK2139027119,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-05 08:17:41
DK230984687,DK1798112150,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-05 09:22:12
DK230978221,DK7333678472,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-05 09:38:01
DK230913412,DK3710566582,CO000002,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-05 13:09:59
DK230978013,DK1519709079,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2023-09-05 16:16:32
DK230942217,DK2227193073,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-05 17:42:10
DK230942217,DK2227193073,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2023-09-05 17:42:10
DK230981609,DK6464693977,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-05 20:42:04
DK230983474,DK1945826486,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-06 00:51:48
DK230916257,DK9573276057,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-06 07:40:01
DK230923406,DK3376077463,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-06 07:50:25
DK230951791,DK1654477195,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-06 07:54:17
DK230915669,DK2785736751,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-06 09:04:57
DK230924253,DK3987248494,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-06 10:31:23
DK230986464,DK7333678472,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2023-09-06 10:43:39
DK230965179,DK9904586976,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-06 11:16:31
DK230988145,DK1955345537,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2023-09-06 12:47:00
DK230996196,DK1965067727,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-06 13:43:17
DK230950763,DK6923206003,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-06 14:08:33
DK230985145,DK9691572571,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-06 14:13:07
DK230936037,DK4034047118,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-06 14:14:59
DK230928071,DK9526836552,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-06 14:48:50
DK230979627,DK6884882440,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-06 14:53:52
DK230974620,DK7825844140,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-06 15:23:59
DK230910305,DK6642201119,CO000001,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2023-09-06 15:41:49
DK230942980,DK6704841644,CO000001,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2023-09-06 16:21:24
DK230984532,DK8987073217,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-06 17:17:41
DK230942203,DK9623534576,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-06 17:17:57
DK230980093,DK8737025391,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-06 17:30:56
DK230963499,DK7597996327,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-06 17:31:11
DK230987767,DK4919706735,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-06 20:24:26
DK230928608,DK9526836552,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2023-09-07 02:32:26
DK230945801,DK5296710795,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2023-09-07 04:57:41
DK230947109,DK7161404428,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2023-09-07 04:59:59
DK230985872,DK7271954644,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-07 05:42:52
DK230938207,DK9462806178,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-07 07:46:23
DK230964882,DK8737025391,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-07 07:53:38
DK230975236,DK3710566582,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-07 08:02:50
DK230915197,DK3792347639,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-07 08:16:57
DK230950233,DK9573276057,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-07 08:25:36
DK230940721,DK9285415473,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-07 08:42:45
DK230958383,DK2232285036,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-07 09:18:51
DK230966873,DK5310195918,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-07 12:46:44
DK230968443,DK6923206003,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-07 13:05:07
DK230968443,DK6923206003,CO000002,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-07 13:05:07
DK230957076,DK8507497883,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-07 13:16:10
DK230947045,DK2627677155,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-07 13:19:38
DK230910032,DK7483366056,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-07 14:01:10
DK230949670,DK2227193073,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-07 15:03:33
DK230917386,DK7333678472,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-07 15:46:34
DK230924418,DK6288227800,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-07 16:17:00
DK230993478,DK1251837136,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-07 18:40:58
DK230910357,DK7625464411,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-07 22:15:49
DK230941737,DK9155819200,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-07 22:37:10
DK230954406,DK3555656321,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-08 07:37:12
DK230942397,DK9922723063,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-08 10:00:47
DK230915937,DK1519709079,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-08 10:06:02
DK230965851,DK5570828113,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-08 10:09:07
DK230927396,DK6923206003,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-08 10:20:28
DK230950628,DK9691572571,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-08 10:24:33
DK230911832,DK7166868574,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-08 10:35:17
DK230962739,DK4311931853,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-08 11:00:01
DK230997138,DK2320763135,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-08 12:19:43
DK230994249,DK8995970241,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2023-09-08 13:06:01
DK230998790,DK1939042955,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-08 13:33:18
DK230999540,DK6882074066,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-08 14:21:21
DK230938314,DK3376077463,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-08 17:11:49
DK230969232,DK3316787198,CO000001,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2023-09-08 19:09:43
DK230995342,DK9904586976,CO000002,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2023-09-09 03:19:28
DK230981586,DK2139027119,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2023-09-09 13:02:12
DK230964726,DK4853479481,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-09 15:19:50
DK230977756,DK5570828113,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-09 18:00:23
DK230999911,DK3363629219,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-09 19:32:57
DK230999911,DK3363629219,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-09 19:32:57
DK230946299,DK8377088167,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-10 07:40:23
DK230929213,DK4226113732,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-10 09:53:49
DK230992269,DK2825989011,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-10 14:38:04
DK230947909,DK5693307665,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-10 20:56:40
DK230912871,DK6237376063,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-11 07:42:53
DK230977079,DK3376077463,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-11 08:08:05
DK230913016,DK5160575046,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-11 08:17:43
DK230972947,DK3343292475,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-11 08:43:22
DK230932128,DK7380780055,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-11 08:56:28
DK230966443,DK5310195918,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-11 08:59:07
DK230922019,DK9597198563,CO000002,CWM10023,Wrong procedure category,Import_Declaration.AdditionalCode,2023-09-11 09:01:05
DK230921119,DK5567816720,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-11 09:15:27
DK230974047,DK7519578899,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-11 09:16:01
DK230981502,DK3392080953,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-11 09:36:40
DK230968492,DK9916336966,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-11 10:02:28
DK230988651,DK7462972995,CO000002,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ImporterIdentification,2023-09-11 10:18:14
DK230968291,DK2188332531,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2023-09-11 10:20:25
DK230981640,DK4776436931,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-11 11:32:11
DK230923229,DK9691572571,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-11 11:41:04
DK230937789,DK2067970820,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-11 12:20:16
DK230953935,DK6461974809,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-11 12:26:53
DK230948021,DK7597996327,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-11 13:23:11
DK230948021,DK7597996327,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-11 13:23:11
DK230971791,DK1817804383,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-11 13:31:43
DK230928757,DK6237376063,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2023-09-11 14:19:23
DK230956630,DK2625792787,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-11 14:22:39
DK230973361,DK6805759868,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-11 15:22:29
DK230917853,DK8982597239,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-11 15:46:09
DK230943761,DK6241752544,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-11 15:59:25
DK230993410,DK5728765136,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-11 16:54:56
DK230934727,DK1422701550,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-12 09:00:45
DK230982333,DK4642197907,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-12 09:34:25
DK230950775,DK3030106617,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2023-09-12 09:49:39
DK230999463,DK6583444930,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-12 10:13:00
DK230987540,DK3376077463,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2023-09-12 13:08:21
DK230984322,DK4482141802,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-12 13:44:14
DK230950179,DK1041531046,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-12 14:27:59
DK230974513,DK2452066459,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-12 15:14:49
DK230933189,DK4882343658,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-12 15:30:14
DK230957712,DK5510938155,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-12 16:55:08
DK230933797,DK6305160342,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ImporterIdentification,2023-09-12 20:42:47
DK230960412,DK7099469983,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-13 07:08:19
DK230952785,DK8763140509,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-13 08:38:32
DK230934833,DK9421518487,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-13 09:06:06
DK230994506,DK6805759868,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ImporterIdentification,2023-09-13 09:14:46
DK230910392,DK5837082260,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-13 09:18:43
DK230961652,DK6923206003,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-13 09:31:52
DK230953286,DK9573276057,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-13 09:49:09
DK230934817,DK7333678472,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-13 09:54:15
DK230955278,DK6242173772,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-13 10:10:09
DK230913119,DK9526836552,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-13 11:19:33
DK230993041,DK9805620900,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-13 13:14:38
DK230993041,DK9805620900,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-13 13:14:38
DK230933149,DK7483366056,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-13 13:27:49
DK230972525,DK3376077463,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-13 14:20:01
DK230930600,DK4882343658,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ImporterIdentification,2023-09-13 14:43:42
DK230941996,DK3987248494,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-13 15:12:19
DK230963042,DK9597198563,CO000002,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2023-09-13 15:18:35
DK230984005,DK1104906255,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-13 15:41:13
DK230959004,DK2047905204,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-13 15:45:47
DK230976877,DK2627677155,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-13 17:08:32
DK230912979,DK4163119785,CO000002,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2023-09-13 19:14:47
DK230963070,DK1311570307,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-13 21:15:46
DK230995052,DK7625464411,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-14 06:28:34
DK230962794,DK5607762160,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-14 08:00:16
DK230943198,DK9697354961,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-14 08:08:51
DK230965880,DK3710566582,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-14 08:53:46
DK230978105,DK6461974809,CO000002,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2023-09-14 09:03:40
DK230969118,DK4460967357,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-14 09:26:56
DK230969834,DK1519709079,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-14 12:10:16
DK230977908,DK3376077463,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-14 12:37:15
DK230998269,DK3376077463,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-14 13:29:39
DK230941979,DK9922723063,CO000001,CWM10023,Wrong procedure category,Import_Declaration.AdditionalCode,2023-09-14 13:58:05
DK230950624,DK9922723063,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2023-09-14 14:16:48
DK230911685,DK8934927891,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-14 15:12:23
DK230985734,DK7166868574,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-14 15:45:45
DK230943743,DK1251837136,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-14 19:48:08
DK230931443,DK5310195918,CO000003,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2023-09-14 20:32:23
DK230975030,DK1116402431,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-14 22:44:51
DK230924965,DK7249213370,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2023-09-15 07:31:56
DK230968092,DK1798112150,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2023-09-15 08:07:09
DK230991027,DK1083651970,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-15 08:14:14
DK230937377,DK6882074066,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-15 08:19:35
DK230957897,DK4882343658,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-15 08:35:30
DK230923796,DK4882343658,CO000002,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2023-09-15 08:40:20
DK230928105,DK1676168421,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-15 09:12:48
DK230987630,DK9623534576,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-15 09:15:56
DK230921298,DK6241752544,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-15 10:04:38
DK230990534,DK7519578899,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-15 11:01:01
DK230917705,DK7665963761,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-15 11:27:47
DK230943698,DK5951406973,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-15 11:33:38
DK230963428,DK5951406973,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2023-09-15 11:48:18
DK230973597,DK1519709079,CO000001,TMSV9999,Unknown error result,,2023-09-15 12:44:16
DK230955312,DK9703905715,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-15 13:38:27
DK230985548,DK7333678472,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-15 14:28:33
DK230987596,DK7887950851,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-15 15:11:03
DK230911298,DK7333678472,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2023-09-15 16:08:19
DK230961875,DK9922723063,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-15 16:13:30
DK230977989,DK4466589567,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2023-09-15 17:50:23
DK230930508,DK6923206003,CO000001,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2023-09-15 17:51:17
DK230952415,DK8737025391,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2023-09-15 20:36:20
DK230970030,DK9421518487,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-16 14:30:21
DK230989415,DK6242173772,CO000003,CWM20006,Service is temporarily unavailable.,,2023-09-16 17:33:16
DK230963256,DK6231117883,CO000003,CWM20006,Service is temporarily unavailable.,,2023-09-16 17:41:16
DK230919776,DK7249213370,CO000003,CWM20006,Service is temporarily unavailable.,,2023-09-16 17:46:32
DK230932960,DK1955345537,CO000003,CWM20006,Service is temporarily unavailable.,,2023-09-16 17:47:05
DK230939820,DK4034047118,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2023-09-16 17:55:18
DK230939820,DK4034047118,CO000003,CWM20006,Service is temporarily unavailable.,,2023-09-16 17:55:18
DK230929852,DK3710566582,CO000001,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2023-09-17 07:21:58
DK230931308,DK3792347639,CO000003,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2023-09-17 09:00:27
